Index,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers,Latitude,Longitude
260,ZHENGZHOU UNIVERSITY,CHINA,1304,16485,12.64,24,34.8214567,113.5297412
261,UNIVERSITAT POLITECNICA DE VALENCIA,SPAIN,1579,16479,10.44,6,39.4808517,-0.3420311
262,UNIVERSITA DELLA SVIZZERA ITALIANA,SWITZERLAND,521,16474,31.62,7,46.0109126,8.9581205
263,UNIVERSITY OF MASSACHUSETTS SYSTEM,USA,1193,16405,13.75,8,37.570304,-77.537784
264,NGEE ANN POLYTECH,,209,16382,78.38,23,18.78378,100.77899
265,CHINA UNIVERSITY OF PETROLEUM,CHINA,1287,16368,12.72,23,35.9453575,120.1670032
266,UNIVERSITY OF PISA,ITALY,1050,16344,15.57,18,43.70853,10.4036
267,CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,725,16119,22.23,24,28.0705674,113.0029417
268,UNIVERSITY OF BOLOGNA,ITALY,1332,16089,12.08,10,44.4969952,11.3530763
269,GUILIN UNIVERSITY OF ELECTRONIC TECHNOLOGY,CHINA,1367,16079,11.76,14,21.4517069,109.171932
270,NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU),NORWAY,1249,16033,12.84,11,63.4480238,10.4536394
271,UTAH SYSTEM OF HIGHER EDUCATION,USA,1148,15971,13.91,7,34.222271,-91.986002
272,WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO),CANADA,765,15961,20.86,14,43.6624885,-79.4011671
273,CARDIFF UNIVERSITY,WALES,776,15950,20.55,21,51.4891343,-3.1822051
274,MACAU UNIVERSITY OF SCIENCE & TECHNOLOGY,MACAU,988,15876,16.07,16,22.1526454,113.568041
275,VANDERBILT UNIVERSITY,USA,570,15773,27.67,11,36.1438011,-86.8028189
276,UNIVERSITY OF OTTAWA,CANADA,1062,15748,14.83,19,45.4258095,-75.687365
277,UNIVERSITE DE TOULOUSE,FRANCE,1294,15716,12.15,9,43.6058532,1.440898
278,TECHNISCHE UNIVERSITAT WIEN,AUSTRIA,1572,15710,9.99,10,48.1989256,16.3698784
279,UNIVERSITY OF TEXAS DALLAS,USA,1041,15647,15.03,20,32.812043,-96.8417201
280,POLISH ACADEMY OF SCIENCES,POLAND,938,15551,16.58,13,52.2377936,21.0181978
281,UNIVERSITY OF CALIFORNIA LOS ANGELES,USA,1192,15548,13.04,11,34.0708777,-118.4468503
282,SHAHID BEHESHTI UNIVERSITY,IRAN,712,15511,21.79,5,35.8025136,51.3932697
283,UNIVERSITY OF JORDAN,JORDAN,454,15505,34.15,14,32.0134092,35.8733821
284,UNIVERSITY OF PITTSBURGH,USA,944,15468,16.39,9,40.444153,-79.962461
285,CALIFORNIA STATE UNIVERSITY SYSTEM,USA,1066,15385,14.43,10,35.125624,-118.021353
286,UNIVERSITY OF BASQUE COUNTRY,SPAIN,876,15354,17.53,20,43.0,-2.75
287,RUTGERS UNIVERSITY SYSTEM,USA,1048,15340,14.64,16,32.285869,-106.74746
288,JINAN UNIVERSITY,CHINA,1269,15327,12.08,20,23.1334847,113.3428181
289,LIAONING UNIVERSITY OF TECHNOLOGY,CHINA,270,15300,56.67,31,41.1420779,121.1183428
290,UNIVERSITY OF PENNSYLVANIA,USA,944,15255,16.16,21,39.9503945,-75.1946713
291,SINGAPORE MANAGEMENT UNIVERSITY,SINGAPORE,863,15240,17.66,18,1.296168,103.8500437
292,INDIAN INSTITUTE OF TECHNOLOGY (IIT) - DELHI,INDIA,930,15227,16.37,8,28.544997,77.1891506
293,RUTGERS UNIVERSITY NEW BRUNSWICK,USA,1029,15213,14.78,16,40.4976786,-74.4460046
294,LOS ALAMOS NATIONAL LABORATORY,USA,381,15198,39.89,7,39.642666,-78.888942
295,UNIVERSIDAD POLITECNICA DE MADRID,SPAIN,1430,15078,10.54,3,40.4486157,-3.719125
296,UNIV LYON COMUE,,1499,15075,10.06,8,18.78378,100.77899
297,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,USA,687,14948,21.76,7,35.9050353,-79.0477533
298,ARISTOTLE UNIVERSITY OF THESSALONIKI,GREECE,815,14931,18.32,10,40.6296704,22.9591611
299,UNIVERSITY AT BUFFALO SUNY,USA,819,14866,18.15,12,,
300,UNIVERSITY OF COLORADO SYSTEM,USA,998,14827,14.86,13,37.570304,-77.537784
301,UNIVERSITY OF NEWCASTLE,AUSTRALIA,568,14788,26.04,13,,
302,NATIONAL YANG MING CHIAO TUNG UNIVERSITY,TAIWAN,1617,14748,9.12,4,22.925322,120.293998
303,BOHAI UNIVERSITY,CHINA,285,14707,51.6,51,41.0842812,121.1130027
304,FUJIAN NORMAL UNIVERSITY,CHINA,915,14656,16.02,25,26.0443445,119.202569
305,UNIVERSITY OF EXETER,ENGLAND,620,14581,23.52,26,50.1701604,-5.1241802
305,SAPIENZA UNIVERSITY ROME,ITALY,1193,14581,12.22,13,41.89193,12.51133
307,TECHNICAL UNIVERSITY OF BERLIN,GERMANY (FED REP GER),1036,14546,14.04,20,52.5119,13.3264
308,NORTHUMBRIA UNIVERSITY,ENGLAND,582,14431,24.8,23,54.9787691,-1.6096401
309,MCGILL UNIVERSITY,CANADA,1027,14377,14.0,11,45.5068867,-73.5790855
310,UNIVERSITY OF JYVASKYLA,FINLAND,318,14365,45.17,5,62.2290279,25.7400369
311,DUKE UNIVERSITY,USA,824,14296,17.35,11,36.0001557,-78.9442297
312,ANNA UNIVERSITY,INDIA,1664,14160,8.51,6,11.0420716,76.8860315
313,UNIVERSIDADE DE LISBOA,PORTUGAL,1220,14149,11.6,8,38.7525379,-9.1568456
314,QUFU NORMAL UNIVERSITY,CHINA,684,14141,20.67,22,35.0,105.0
315,UNIVERSITY OF GEORGIA,USA,342,14126,41.3,4,33.9404278,-83.373049
316,IRAN UNIVERSITY SCIENCE & TECHNOLOGY,IRAN,1089,13999,12.85,7,35.7427943,51.5057405
317,RWTH AACHEN UNIVERSITY,GERMANY (FED REP GER),1147,13814,12.04,14,51.5,10.5
318,PRES EUROPEAN UNIV BRETAGNE,,1275,13789,10.81,9,18.78378,100.77899
319,ERICSSON,SWEDEN,739,13776,18.64,15,59.4029738,17.955609
320,CHALMERS UNIVERSITY OF TECHNOLOGY,SWEDEN,1018,13759,13.52,12,57.6897462,11.9765259
321,DONGHUA UNIVERSITY,CHINA,782,13734,17.56,20,31.206218,121.4105479
322,UNIVERSITY OF NAPLES FEDERICO II,ITALY,961,13716,14.27,6,42.83333,12.83333
323,UNIVERSITY OF AUCKLAND,NEW ZEALAND,917,13552,14.78,23,-36.8660955,174.7737331
324,UNIVERSITY OF ESSEX,ENGLAND,728,13545,18.61,12,51.8773639,0.9498751
325,NORTHWESTERN UNIVERSITY,USA,768,13501,17.58,9,42.0557157,-87.6752945
326,STELLENBOSCH UNIVERSITY,SOUTH AFRICA,178,13453,75.58,2,-33.9326212,18.8650551
327,NORTH CAROLINA STATE UNIVERSITY,USA,1059,13418,12.67,9,35.7708033,-78.6747332
328,UNIVERSIDADE DO PORTO,PORTUGAL,864,13406,15.52,11,41.1468934,-8.6157949
329,CHINA AGRICULTURAL UNIVERSITY,CHINA,953,13357,14.02,18,40.025228,116.2745405
330,UNIVERSITE DE RENNES,FRANCE,1246,13286,10.66,9,48.1193848,-1.701487
331,VICTORIA UNIVERSITY,AUSTRALIA,335,13195,39.39,16,-37.7524181,144.797936
332,UNIVERSITY OF LIVERPOOL,ENGLAND,922,13164,14.28,11,53.4072429,-2.9658337
333,UNIVERSIDAD CARLOS III DE MADRID,SPAIN,1096,13034,11.89,7,40.3150937,-3.7248793
334,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES (SUSS),SINGAPORE,185,13019,70.37,23,1.3292738,103.7762131
335,CNRS - INSTITUTE FOR ENGINEERING & SYSTEMS SCIENCES (INSIS),FRANCE,973,13009,13.37,6,46.0,2.0
336,XI'AN INSTITUTE OF OPTICS & PRECISION MECHANICS CAS,CHINA,330,12940,39.21,13,35.0,105.0
337,NATIONAL UNIVERSITY OF SCIENCES & TECHNOLOGY - PAKISTAN,PAKISTAN,1043,12865,12.33,12,30.0,70.0
338,INTERUNIVERSITY MICROELECTRONICS CENTRE,BELGIUM,973,12863,13.22,7,50.75,4.5
339,STONY BROOK UNIVERSITY,USA,885,12859,14.53,14,40.9098832,-73.1215495
340,ISTANBUL TECHNICAL UNIVERSITY,TURKIYE,782,12834,16.41,14,41.1050465,29.0263114
341,SHAANXI NORMAL UNIVERSITY,CHINA,930,12829,13.79,10,34.1552785,108.8866313
342,QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT),AUSTRALIA,710,12798,18.03,15,-27.4512296,153.0162194
343,NATIONAL CHENG KUNG UNIVERSITY,TAIWAN,1205,12753,10.58,6,22.999099,120.2162295
344,RADBOUD UNIVERSITY NIJMEGEN,NETHERLANDS,488,12724,26.07,12,51.8215172,5.8634209
345,KING FAHD UNIVERSITY OF PETROLEUM & MINERALS,SAUDI ARABIA,762,12719,16.69,22,26.3053184,50.1506449
346,ECOLE DE TECHNOLOGIE SUPERIEURE - CANADA,CANADA,760,12706,16.72,15,,
347,UNIVERSIDAD DE JAEN,SPAIN,454,12705,27.98,14,37.7882087,-3.776634
348,SOOCHOW UNIVERSITY - CHINA,CHINA,1225,12693,10.36,13,35.0,105.0
349,THE CHINESE UNIVERSITY OF HONG KONG SHENZHEN,CHINA,743,12616,16.98,26,22.6910685,114.207366
350,JIANGNAN UNIVERSITY,CHINA,1070,12611,11.79,14,31.4851218,120.2673352
351,JOHNS HOPKINS UNIVERSITY,USA,804,12595,15.67,12,39.3302022,-76.6218536
352,TECHNION ISRAEL INSTITUTE OF TECHNOLOGY,ISRAEL,1321,12590,9.53,4,32.7768128,35.0225446
353,KHALIFA UNIVERSITY OF SCIENCE & TECHNOLOGY,UNITED ARAB EMIRATES,820,12578,15.34,10,23.75,54.5
354,NORTHEASTERN UNIVERSITY,USA,983,12413,12.63,10,42.3389545,-71.088058
355,HUAQIAO UNIVERSITY,CHINA,691,12409,17.96,8,24.6004712,118.0816574
356,TECHNICAL UNIVERSITY OF DARMSTADT,GERMANY (FED REP GER),923,12381,13.41,6,49.87167,8.65027
357,TAMPERE UNIVERSITY,FINLAND,807,12361,15.32,7,61.4934626,23.77895
358,UNIVERSITY OF GLASGOW,SCOTLAND,807,12338,15.29,12,55.8716587,-4.2883961
359,UNIVERSITY OF AMSTERDAM,NETHERLANDS,960,12294,12.81,13,52.3681334,4.8898042
360,VICTORIA UNIVERSITY WELLINGTON,NEW ZEALAND,517,12290,23.77,25,-41.2793942,174.7783525
361,ZAGAZIG UNIVERSITY,EGYPT,528,12236,23.17,14,30.5886074,31.4819297
362,UNIVERSITY OF CALABRIA,ITALY,704,12209,17.34,12,39.0,16.5
363,HONG KONG BAPTIST UNIVERSITY,HONG KONG,604,12168,20.15,16,22.3874181,114.2082235
364,ALCATEL-LUCENT,FRANCE,235,12154,51.72,11,43.6195884,7.0576893
365,UNIVERSITY OF SEVILLA,SPAIN,952,12142,12.75,3,37.38283,-5.97317
366,TECHNISCHE UNIVERSITAT DRESDEN,GERMANY (FED REP GER),884,12114,13.7,9,51.05089,13.73832
367,UNIVERSITY OF VICTORIA,CANADA,785,12055,15.36,11,48.4620599,-123.3114198
368,UNIVERSITY OF TOKYO,JAPAN,1360,12035,8.85,6,35.7160436,139.7643586
369,UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY,CHINA,831,12034,14.48,10,31.2950161,121.5506739
370,UNIVERSITY OF QUEBEC MONTREAL,CANADA,710,12007,16.91,9,45.50008,-73.66588
371,POLYTECHNIC UNIVERSITY OF TURIN,ITALY,1106,11945,10.8,12,45.06455,7.65833
372,US DEPT HLTH HUMAN SERVICES,,572,11934,20.86,15,18.78378,100.77899
373,INDIAN INSTITUTE OF TECHNOLOGY (INDIAN SCHOOL OF MINES) DHANBAD,INDIA,753,11920,15.83,12,23.80199,86.44324
374,LOUGHBOROUGH UNIVERSITY,ENGLAND,613,11905,19.42,14,52.763845,-1.2372582
375,COMMUNAUTE UNIVERSITE GRENOBLE ALPES,FRANCE,1252,11899,9.5,10,46.0,2.0
376,BEN GURION UNIVERSITY,ISRAEL,1061,11752,11.08,16,31.2631254,34.8022385
377,UNIVERSITY OF KENTUCKY,USA,526,11747,22.33,14,38.0266291,-84.5047222
378,HAMAD BIN KHALIFA UNIVERSITY-QATAR,QATAR,629,11732,18.65,11,25.5,51.25
379,UNIVERSITY OF NEBRASKA SYSTEM,USA,761,11696,15.37,10,38.992516,-76.991021
380,UNIVERSITE PSL,FRANCE,773,11680,15.11,10,48.854654,2.3378386
381,UNIV LILLE NORD FRANCE COMUE,,1111,11664,10.5,6,47.37405,4.35857
382,NORTH CHINA ELECTRIC POWER UNIVERSITY,CHINA,718,11658,16.24,10,38.8760446,115.4973873
383,UNIVERSITY OF MUNICH,GERMANY (FED REP GER),504,11650,23.12,16,48.13743,11.57549
384,BEIJING NORMAL UNIVERSITY,CHINA,1023,11648,11.39,15,39.959732,116.359737
385,CAIRO UNIVERSITY,EGYPT,692,11637,16.82,9,30.0268119,31.2059186
386,SIMON FRASER UNIVERSITY,CANADA,833,11628,13.96,10,49.2767096,-122.917803
387,UNIVERSITE GRENOBLE ALPES (UGA),FRANCE,1217,11573,9.51,10,44.9341217,4.9030427
388,UNIVERSITY OF LEICESTER,ENGLAND,721,11569,16.05,17,52.6175241,-1.1377672
388,UNIVERSITY OF ARIZONA,USA,752,11569,15.38,7,33.4520517,-112.0636789
390,UNIVERSITY OF VIRGINIA,USA,631,11527,18.27,11,38.0410576,-78.5055084
391,SHANGHAI MARITIME UNIVERSITY,CHINA,765,11519,15.06,21,30.8769821,121.9002178
392,POMPEU FABRA UNIVERSITY,SPAIN,487,11489,23.59,6,40.0,-4.0
393,SOUTHWESTERN UNIVERSITY OF FINANCE & ECONOMICS - CHINA,CHINA,534,11422,21.39,20,35.0,105.0
394,LULEA UNIVERSITY OF TECHNOLOGY,SWEDEN,319,11409,35.76,16,65.6182538,22.1383085
395,UNIVERSITY OF SALERNO,ITALY,855,11369,13.3,10,40.67545,14.79328
396,YEUNGNAM UNIVERSITY,SOUTH KOREA,642,11357,17.69,9,35.8365403,128.7534309
397,OSAKA UNIVERSITY,JAPAN,922,11356,12.32,2,34.5111992,135.631448
398,UNITED STATES DEPARTMENT OF DEFENSE,USA,973,11351,11.67,4,38.021371,-85.910603
399,HARVARD UNIV MEDICAL AFFILIATES,,719,11291,15.7,13,18.78378,100.77899
400,YANSHAN UNIVERSITY,CHINA,1050,11274,10.74,5,36.6439319,117.062341
401,MINISTRY OF AGRICULTURE & RURAL AFFAIRS,CHINA,813,11248,13.84,15,39.9331167,116.4576852
402,GEORGIA STATE UNIVERSITY,USA,655,11218,17.13,9,33.7535889,-84.3854209
403,HANYANG UNIVERSITY,SOUTH KOREA,1186,11216,9.46,12,37.5557232,127.0436441
404,UNIVERSIDADE ESTADUAL DE CAMPINAS,BRAZIL,957,11181,11.68,7,-22.822656,-47.0627959
405,UNIVERSITY OF TENNESSEE SYSTEM,USA,665,11170,16.8,6,32.868567,-117.228836
406,LA TROBE UNIVERSITY,AUSTRALIA,663,11157,16.83,12,-36.1119046,146.8486497
407,STEVENS INSTITUTE OF TECHNOLOGY,USA,485,11155,23.0,12,40.7448096,-74.0252392
407,MEMORIAL UNIVERSITY NEWFOUNDLAND,CANADA,555,11155,20.1,17,47.5732831,-52.7351911
409,MISSOURI UNIVERSITY OF SCIENCE & TECHNOLOGY,USA,498,11150,22.39,11,37.9532435,-91.7742667
410,JIANGSU UNIVERSITY,CHINA,956,11108,11.62,8,32.2031869,119.5096476
411,POLYTECHNIQUE MONTREAL,CANADA,807,11094,13.75,9,45.5045875,-73.612996
412,NORTHWEST A&F UNIVERSITY - CHINA,CHINA,507,11002,21.7,6,35.0,105.0
413,NEWCASTLE UNIVERSITY - UK,ENGLAND,734,10933,14.9,11,52.16045,-0.70312
414,GRIFFITH COLL,,6,10920,1820.0,3,18.78378,100.77899
415,UNIVERSITY OF ALABAMA SYSTEM,USA,678,10819,15.96,8,38.992516,-76.991021
416,QUAID I AZAM UNIVERSITY,PAKISTAN,527,10786,20.47,7,33.74757,73.1365
417,IWATE PREFECTURAL UNIVERSITY,JAPAN,204,10773,52.81,15,39.80122,141.13758
418,INDIAN INSTITUTE OF TECHNOLOGY (IIT) - ROORKEE,INDIA,734,10756,14.65,3,29.8661656,77.8957348
419,INDIANA UNIVERSITY SYSTEM,USA,661,10713,16.21,7,45.575593,-122.717069
420,UNIVERSITY OF NOTRE DAME,USA,660,10703,16.22,6,41.7045677,-86.2382203
421,NATIONAL TAIWAN UNIVERSITY,TAIWAN,1102,10651,9.67,5,25.0168175,121.5384571
422,XI'AN UNIVERSITY OF POSTS & TELECOMMUNICATIONS,CHINA,893,10645,11.92,9,34.1555232,108.8981463
423,NATIONAL INSTITUTE OF TECHNOLOGY KURUKSHETRA,INDIA,535,10626,19.86,18,29.9457523,76.8160287
424,STATE KEY LABORATORY OF TRANSIENT OPTICS & PHOTONICS,CHINA,180,10597,58.87,11,35.0,105.0
424,UNIVERSITY OF STUTTGART,GERMANY (FED REP GER),755,10597,14.04,10,49.08333,9.66667
426,LANZHOU UNIVERSITY,CHINA,612,10577,17.28,15,36.0504988,103.8544558
427,MENOFIA UNIVERSITY,EGYPT,846,10556,12.48,5,27.0,30.0
428,UNIVERSITY COLLEGE DUBLIN,IRELAND,710,10518,14.81,18,53.3068763,-6.2246251
429,UNIVERSITY OF MANITOBA,CANADA,499,10475,20.99,13,55.00019,-97.00049
430,LEIBNIZ UNIVERSITY HANNOVER,GERMANY (FED REP GER),486,10417,21.43,19,52.37052,9.73322
431,NANCHANG UNIVERSITY,CHINA,680,10416,15.32,11,28.6612687,115.7975974
432,CHINA MEDICAL UNIVERSITY TAIWAN,TAIWAN,716,10380,14.5,17,23.5,121.0
433,UNIVERSITI SAINS MALAYSIA,MALAYSIA,662,10373,15.67,11,5.3574323,100.3035504
434,INDIAN STATISTICAL INSTITUTE,INDIA,722,10355,14.34,10,12.9323681,77.5043591
435,UNIVERSITY OF TEXAS ARLINGTON,USA,568,10351,18.22,9,32.7284713,-97.1120213
436,SWANSEA UNIVERSITY,WALES,546,10336,18.93,9,51.6192545,-3.8792745
437,HUNAN UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,589,10328,17.53,6,27.9063746,112.9166685
438,KYUNGPOOK NATIONAL UNIVERSITY (KNU),SOUTH KOREA,791,10327,13.06,8,36.5,127.75
439,QILU UNIVERSITY OF TECHNOLOGY,CHINA,884,10313,11.67,17,36.5578144,116.805231
440,UTRECHT UNIVERSITY,NETHERLANDS,708,10284,14.53,11,52.0870179,5.1801005
441,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),FRANCE,640,10249,16.01,8,42.698706,2.727327
442,MANCHESTER METROPOLITAN UNIVERSITY,ENGLAND,415,10201,24.58,16,53.4679043,-2.244861
443,OKLAHOMA STATE UNIVERSITY SYSTEM,USA,411,10169,24.74,16,32.285869,-106.74746
444,UNIVERSITY OF SOUTH FLORIDA,USA,621,10164,16.37,11,28.0599999,-82.4138362
445,FLORIDA ATLANTIC UNIVERSITY,USA,312,10154,32.54,10,26.1194037,-80.1416919
445,INDIAN STATISTICAL INSTITUTE KOLKATA,INDIA,686,10154,14.8,10,22.6491934,88.3763291
447,OCEAN UNIVERSITY OF CHINA,CHINA,692,10130,14.64,11,36.0636494,120.3329267
448,TALLINN UNIVERSITY OF TECHNOLOGY,ESTONIA,191,10122,52.99,1,59.3949741,24.6676189
448,HARVARD MEDICAL SCHOOL,USA,676,10122,14.97,11,42.3368318,-71.1038092
450,UNIVERSIDAD DE CHILE,CHILE,644,10097,15.68,11,,
451,UNIVERSITY OF TRENTO,ITALY,720,10075,13.99,7,46.0661497,11.1166232
452,UNIVERSITY OF ZURICH,SWITZERLAND,601,10055,16.73,11,47.4968435,8.7298072
453,TEL AVIV UNIVERSITY,ISRAEL,887,10015,11.29,11,32.1123822,34.805018
454,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,USA,444,10002,22.53,12,39.649107,-78.893749
455,RUSSIAN ACADEMY OF SCIENCES,RUSSIA,2645,10001,3.78,3,55.7108089,37.5789699
456,UNIVERSITY OF COPENHAGEN,DENMARK,585,9987,17.07,10,55.6801502,12.572327
456,JADAVPUR UNIVERSITY,INDIA,778,9987,12.84,1,22.4995216,88.3711493
458,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),SPAIN,782,9979,12.76,5,40.4407145,-3.6874014
459,UNIVERSITY OF CALGARY,CANADA,839,9961,11.87,9,51.0750862,-114.1299504
460,UNIVERSITY OF SOUTH AUSTRALIA,AUSTRALIA,478,9955,20.83,4,-37.8062142,140.766463
461,TORONTO METROPOLITAN UNIVERSITY,CANADA,775,9951,12.84,9,43.6585342,-79.3784674
462,UNIVERSIDADE DE AVEIRO,PORTUGAL,640,9949,15.55,14,40.6320293,-8.6597957
463,OKLAHOMA STATE UNIVERSITY - STILLWATER,USA,401,9947,24.81,16,36.11561,-97.05837
464,NATIONAL TECHNICAL UNIVERSITY OF ATHENS,GREECE,713,9939,13.94,9,37.9878501,23.7318258
465,SHANXI UNIVERSITY,CHINA,579,9929,17.15,9,37.8001306,112.5816662
466,FRAUNHOFER GESELLSCHAFT,GERMANY (FED REP GER),668,9860,14.76,10,51.5,10.5
467,UNIVERSITY OF TENNESSEE KNOXVILLE,USA,573,9850,17.19,6,35.9515612,-83.93088
468,UNIVERSITY OF GUELPH,CANADA,369,9812,26.59,14,43.5351996,-80.2189334
469,STATE KEY LAB CRYPTOL,,571,9809,17.18,18,18.78378,100.77899
470,ANNA UNIVERSITY CHENNAI,INDIA,1246,9796,7.86,4,13.0105838,80.2353736
471,UNIVERSITY OF SASKATCHEWAN,CANADA,569,9762,17.16,6,52.1344194,-106.6277768
472,HERIOT WATT UNIVERSITY,SCOTLAND,434,9752,22.47,7,,
473,YORK UNIVERSITY - CANADA,CANADA,478,9749,20.4,5,43.6624885,-79.4011671
474,WUHAN UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,568,9705,17.09,15,30.4455057,114.2572327
475,SHANGHAITECH UNIVERSITY,CHINA,561,9686,17.27,17,31.1794305,121.5902345
476,LUND UNIVERSITY,SWEDEN,503,9556,19.0,5,55.7126504,13.2107587
477,UNIVERSIDAD DE MALAGA,SPAIN,914,9530,10.43,6,36.7165576,-4.4953364
478,NATIONAL & KAPODISTRIAN UNIVERSITY OF ATHENS,GREECE,508,9528,18.76,11,37.97945,23.71622
479,NATIONAL SUN YAT SEN UNIVERSITY,TAIWAN,646,9513,14.73,9,22.6272,120.2666
480,UNIVERSITI KEBANGSAAN MALAYSIA,MALAYSIA,694,9503,13.69,7,2.9240809,101.7812216
481,SHANDONG UNIVERSITY OF FINANCE & ECONOMICS,CHINA,543,9500,17.5,6,36.6680241,117.3685089
482,SOUTH CHINA AGRICULTURAL UNIVERSITY,CHINA,605,9452,15.62,12,23.1612068,113.3481027
483,ELECTRONICS & TELECOMMUNICATIONS RESEARCH INSTITUTE - KOREA (ETRI),SOUTH KOREA,1361,9450,6.94,4,36.5,127.75
484,SYSTEMS RESEARCH INSTITUTE OF THE POLISH ACADEMY OF SCIENCES,POLAND,462,9434,20.42,8,52.0,20.0
485,BROWN UNIVERSITY,USA,443,9430,21.29,15,41.8186395,-71.4088009
486,UNIVERSITE DE LORRAINE,FRANCE,848,9425,11.11,4,,
487,UNIVERSITY OF CENTRAL FLORIDA,USA,712,9423,13.23,3,28.5989975,-81.197125
488,RIKEN,JAPAN,630,9385,14.9,29,35.780331,139.6126984
489,TARBIAT MODARES UNIVERSITY,IRAN,568,9354,16.47,10,35.7249689,51.3809632
490,MANSOURA UNIVERSITY,EGYPT,604,9353,15.49,14,31.0407772,31.3581295
491,NATIONAL TSING HUA UNIVERSITY,TAIWAN,834,9342,11.2,3,24.7916987,120.9924295
492,IOWA STATE UNIVERSITY,USA,701,9309,13.28,5,42.0279608,-93.6447375
493,INDIANA UNIVERSITY BLOOMINGTON,USA,556,9296,16.72,6,39.1802358,-86.5093526
494,AUBURN UNIVERSITY,USA,483,9281,19.22,15,32.5919528,-85.4959775
494,AUBURN UNIVERSITY SYSTEM,USA,483,9281,19.22,15,45.575593,-122.717069
496,MIDDLE EAST TECHNICAL UNIVERSITY,TURKIYE,667,9253,13.87,8,39.8754967,32.7855351
497,ZHEJIANG NORMAL UNIVERSITY,CHINA,575,9246,16.08,15,29.136745,119.6376144
498,XI'AN UNIVERSITY OF TECHNOLOGY,CHINA,814,9239,11.35,12,34.255083,108.9885686
499,SAINT FRANCIS XAVIER UNIVERSITY - CANADA,CANADA,339,9236,27.24,12,43.6624885,-79.4011671
500,UNIVERSITY OF UTAH,USA,836,9227,11.04,1,40.76495,-111.84855
501,KARLSRUHE INSTITUTE OF TECHNOLOGY,GERMANY (FED REP GER),814,9192,11.29,2,49.00944,8.41167
502,NANTONG UNIVERSITY,CHINA,712,9179,12.89,17,31.9747463,120.9077926
503,UNIVERSITY OF TWENTE,NETHERLANDS,656,9145,13.94,9,52.2493304,6.8511958
504,SUNY NEW PALTZ,USA,424,9124,21.52,4,41.7328368,-74.0888052
505,UNIVERSITY OF GOTTINGEN,GERMANY (FED REP GER),410,9104,22.2,4,51.53443,9.93228
506,ZHEJIANG GONGSHANG UNIVERSITY,CHINA,686,9074,13.23,13,30.2874377,120.1319505
507,UNIVERSITY OF GRONINGEN,NETHERLANDS,585,9046,15.46,7,53.2194415,6.5629863
508,UNIVERSITY OF NEBRASKA LINCOLN,USA,512,9033,17.64,8,40.8305567,-96.6697373
509,UNIVERSITY OF MISSOURI COLUMBIA,USA,412,9020,21.89,7,38.9364147,-92.329703
510,UNIVERSITE DE LILLE,FRANCE,824,9015,10.94,4,50.6285707,3.125956
511,LAVAL UNIVERSITY,CANADA,281,8933,31.79,5,50.4324913,-104.557312
512,ENTHOUGHT,,1,8919,8919.0,1,18.78378,100.77899
512,FRANCE IX SERV,,1,8919,8919.0,1,43.993355,-0.546843
512,MERCARI JP,,1,8919,8919.0,1,18.78378,100.77899
512,QUANSIGHT,,1,8919,8919.0,1,18.78378,100.77899
516,UNIVERSITY OF HELSINKI,FINLAND,721,8918,12.37,10,,
517,INRAE,FRANCE,538,8917,16.57,4,43.5272308,1.5010601
518,UNIVERSITY OF WESTERN AUSTRALIA,AUSTRALIA,528,8907,16.87,11,-31.9504045,115.7979016
519,TORRENS UNIVERSITY AUSTRALIA,AUSTRALIA,123,8896,72.33,19,-33.8839663,151.2089297
520,WASEDA UNIVERSITY,JAPAN,691,8895,12.87,19,35.70863,139.71958
521,KYOTO UNIVERSITY,JAPAN,924,8894,9.63,8,35.0234513,135.7798129
522,UNIVERSITY OF NORTH CAROLINA CHARLOTTE,USA,442,8866,20.06,8,35.3064945,-80.7349705
523,QUEENS UNIVERSITY - CANADA,CANADA,715,8862,12.39,6,43.6624885,-79.4011671
524,UNIVERSITY OF CHICAGO,USA,514,8841,17.2,7,41.7913968,-87.6008439
525,WASHINGTON STATE UNIVERSITY,USA,434,8837,20.36,8,46.7337716,-117.1498035
526,FLORIDA INTERNATIONAL UNIVERSITY,USA,486,8829,18.17,11,25.7553898,-80.3762833
527,VIETNAM NATIONAL UNIVERSITY HOCHIMINH CITY,VIETNAM,649,8820,13.59,7,10.82302,106.62965
528,CALIFORNIA INSTITUTE OF TECHNOLOGY,USA,519,8816,16.99,8,34.1370138,-118.1252883
529,UNIVERSITY OF IOWA,USA,377,8814,23.38,4,41.6311024,-91.540752
